post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
159081331.complicated-good,2025-04-13T20:42:21.658Z,true,2025-04-13T20:42:21.738Z,2025-04-13T20:42:21.738Z,newsletter,only_paid,Complicated != Good,simplicity in the age of AI,
159040305.test-test-and-then-test-again,2025-03-17T13:44:26.633Z,true,2025-03-17T13:44:26.728Z,2025-03-17T13:44:26.728Z,newsletter,everyone,"Test, test, and then test again.",... or else ...,
158812268.less-is-more,,false,,,newsletter,only_paid,,,
158299599.smallpond-distributed-duckdb,2025-03-06T21:25:53.841Z,true,2025-03-06T21:25:53.932Z,2025-03-06T21:25:53.932Z,newsletter,everyone,smallpond ... distributed DuckDB?,... courtesy of deepseek-ai ,
158077935.dbt-on-databricks,2025-03-03T13:08:49.130Z,true,2025-03-03T13:08:49.228Z,2025-03-03T13:08:49.228Z,newsletter,everyone,dbt on Databricks,... thoughts and more,
157927136.data-analysis-is-hell,2025-02-27T20:23:11.273Z,true,2025-02-27T20:23:11.417Z,2025-02-27T20:23:11.417Z,newsletter,only_paid,Data Analysis is Hell,... nothing you can do about it.,
157162490.lord-have-mercy-apache-xtable,2025-02-17T13:07:22.166Z,true,2025-02-17T13:07:22.299Z,2025-02-17T13:07:22.299Z,newsletter,everyone,Lord have mercy. Apache XTable.,... add another one to the list,
157105917.data-engineering-central-podcast-cd0,2025-02-13T22:37:19.347Z,true,2025-02-13T22:37:19.530Z,2025-02-13T22:37:19.530Z,podcast,everyone, Data Engineering Central Podcast - 06,Episode 06,
157070999.ai-code-revolution-embrace-or-deny,2025-02-24T13:01:46.993Z,true,2025-02-24T13:01:47.065Z,2025-02-24T13:01:47.065Z,newsletter,everyone,AI Code Revolution. Embrace or Deny?,for Software Development,
156554431.your-limiting-factor-in-software,2025-02-05T21:46:33.346Z,true,2025-02-05T21:46:33.502Z,2025-02-05T21:46:33.502Z,newsletter,everyone,Your Limiting Factor (in Software), ... is you ...,
156171315.delta-lake-vs-iceberg-uniform-and,2025-02-10T13:44:08.863Z,true,2025-02-10T13:44:09.044Z,2025-02-10T13:44:09.044Z,newsletter,everyone,Delta Lake vs Iceberg. UniForm and Unity Catalog.,... will there ever be harmony?,
155796796.polars-and-duckdb-release-unity-catalog,2025-01-27T00:57:25.874Z,true,2025-01-27T00:57:25.964Z,2025-01-27T00:57:25.964Z,newsletter,everyone,Polars and DuckDB release Unity Catalog (Delta Lake) integrations. Who lied? Who didn't?,... say it ain't so ...,
155361416.bespoke-vs-managed-data-platforms,2025-02-03T13:52:50.394Z,true,2025-02-03T13:52:50.486Z,2025-02-03T13:52:50.486Z,newsletter,only_paid,Bespoke vs Managed Data Platforms, ... choose your poison ...,
154914837.data-quality-with-databricks-labs,2025-01-16T23:15:30.314Z,true,2025-01-16T23:15:30.492Z,2025-01-16T23:15:30.492Z,newsletter,everyone,Data Quality with Databricks Labs new DQX tool. , ... better be good ...,
154826027.delta-lake-outside-the-box-with-serverless,,false,,,newsletter,only_paid,,,
154825391.replace-pythons-pip-with-uv,2025-02-19T22:47:25.161Z,true,2025-02-19T22:47:25.318Z,2025-02-19T22:47:25.318Z,newsletter,only_paid,Replace Python's pip with uv?, Anonymous Rust Dev,
154357078.what-is-a-zero-copy-abstraction-with,,false,,,newsletter,only_paid,,,
154278517.duckdb-processing-remote-s3-json,2025-01-08T13:05:00.331Z,true,2025-01-08T13:05:00.431Z,2025-01-08T13:05:00.431Z,newsletter,everyone,DuckDB processing remote (s3) JSON files.,... just because we can,
